URL,Tag,Text
https://docs.dmexpro.com/purchaseInward.html,h2,Sales Order
https://docs.dmexpro.com/purchaseInward.html,h3,Before You Begin
https://docs.dmexpro.com/purchaseInward.html,li,"To get started, make sure you have your username and password ready."
https://docs.dmexpro.com/purchaseInward.html,li,"Once you log in, you will land on the welcome screen."
https://docs.dmexpro.com/purchaseInward.html,h4,PREREQUISITE CUSTOMER PO:
https://docs.dmexpro.com/purchaseInward.html,li,"Certainly, before creating a purchase inward, it's a good practice to ensure that all the relevant details have been entered or updated.Here's a checklist of the details you should verify before adding a purchase inward:"
https://docs.dmexpro.com/purchaseInward.html,li,"By Updating the supplier PO and the master screen before moving to purchase inward, you ensure that the purchase inward process is efficient, accurate, and free from errors."
https://docs.dmexpro.com/purchaseInward.html,li,Supplier PO:The Supplier PO  with line items of appropriate data should present to raise an error free and accurate purchase inward.
https://docs.dmexpro.com/purchaseInward.html,h4,Additional Info:
https://docs.dmexpro.com/purchaseInward.html,li,Price and Tax Information:
https://docs.dmexpro.com/purchaseInward.html,li,"Confirm that the prices and the taxes for the part, holder, collet, pull stud and product masters are up-to-date  and accurate."
https://docs.dmexpro.com/purchaseInward.html,li,Supplier PO:
https://docs.dmexpro.com/purchaseInward.html,li,Verify that the details of the Supplier PO required are accurate and are up-to-date.
https://docs.dmexpro.com/purchaseInward.html,h3,1.1. Add a Purchase Inward - Step-by-Step
https://docs.dmexpro.com/purchaseInward.html,p,Step 1:Reach the Purchase Inward Section
https://docs.dmexpro.com/purchaseInward.html,li,"From the main Side menu, click on ""Stores,"" then go to ""Operations,"" and finally choose ""Purchase Inward"" .This will open the Purchase Inward Search page."
https://docs.dmexpro.com/purchaseInward.html,p,Step 2:Adding a Purchase Inward
https://docs.dmexpro.com/purchaseInward.html,li,"On the top right of the Purchase Inward Search page, you'll see an ""Add Purchase"" button. Click this button."
https://docs.dmexpro.com/purchaseInward.html,p,Step 3:Fill in details
https://docs.dmexpro.com/purchaseInward.html,li,PO Number: [Dropdown] (Mandatory) Choose the PO from the dropdown list. The supplier PO added in the Supplier PO screen will be shown as an option.
https://docs.dmexpro.com/purchaseInward.html,p,"Notes:When the PO is selected it will subsequently populate the supplier name, PO date and po description field and the list of line items in the supplier PO  within the purchase inward screen."
https://docs.dmexpro.com/purchaseInward.html,li,Supplier Name: [Read Only Field] The supplier name is automatically populated in this field when the PO is selected.
https://docs.dmexpro.com/purchaseInward.html,li,PO Date: [Read Only Field] The supplier PO date is automatically populated as the PO date when the PO is selected.
https://docs.dmexpro.com/purchaseInward.html,li,GRN Number: [Text Field] This field will be automatically generated by the system. The generated number may include a prefix that can be updated from the organization details screen.
https://docs.dmexpro.com/purchaseInward.html,li,"GRN Date: [Date field] (Mandatory) The current date shall be automatically designated as the GRN  date. However, should the need arise for alteration, such adjustments can be made in accordance with any request."
https://docs.dmexpro.com/purchaseInward.html,li,Po Description:  [Text Field] The description in the supplier PO is automatically populated as the Po description when the PO is selected.
https://docs.dmexpro.com/purchaseInward.html,li,Invoice Date:  [Date Field] Select the invoice date.
https://docs.dmexpro.com/purchaseInward.html,li,DC No:  [Text Field] Enter the delivery challan number.
https://docs.dmexpro.com/purchaseInward.html,li,DC Date:  [Date Field] Select the DC date.
https://docs.dmexpro.com/purchaseInward.html,li,Note:  The invoice number and the invoice date or the dc number and the dc date either of the combinations should be filled.
https://docs.dmexpro.com/purchaseInward.html,li,Duty Fee Status:  [Dropdown Field](Mandatory)Select the duty fee payment status from the dropdown.
https://docs.dmexpro.com/purchaseInward.html,li,Note: The Duty fee field will be displayed only if the duty fee status is selected as paid
https://docs.dmexpro.com/purchaseInward.html,li,Duty Fee:  [Number Field](Mandatory)Enter the duty fee value.
https://docs.dmexpro.com/purchaseInward.html,li,"Remarks:  [Text Field]Add the remarks or general comments , if any."
https://docs.dmexpro.com/purchaseInward.html,h3,1.2. Add Line Item:
https://docs.dmexpro.com/purchaseInward.html,li,The list of supplier PO is displayed when the PO number is selected.
https://docs.dmexpro.com/purchaseInward.html,li,"The supplier PO line item is displayed with item, product, HSA/SAC, UOM , Rate per unit, PO Qty, Already Inward Quantity, Status, Taxable, CGST, SGST,Tax, Amount."
https://docs.dmexpro.com/purchaseInward.html,p,"Notes:If both the supplier's address and the organization's address are located within the same state, the Central Goods and Services Tax (CGST) and State Goods and Services Tax (SGST) are applicable and the fields are displayed."
https://docs.dmexpro.com/purchaseInward.html,li,"If the supplier's address and the organization's address are in different states, the Integrated Goods and Services Tax (IGST) is applied and the field is displayed:"
https://docs.dmexpro.com/purchaseInward.html,li,"The Current Inward Quantity field value is entered by the user.(ie, the quantity of the particular line item which is received)."
https://docs.dmexpro.com/purchaseInward.html,li,"The status has three states (Placed,Partially received,Received)"
https://docs.dmexpro.com/purchaseInward.html,li,Placed: This status indicates that no quantity from the purchase order (PO) has been received yet. It represents a situation where the ordered items are yet to be delivered.
https://docs.dmexpro.com/purchaseInward.html,li,"Received: When all the items specified in the PO quantity have been successfully received, the status is marked as ""Received."" This indicates that the entire order has been delivered as per the PO."
https://docs.dmexpro.com/purchaseInward.html,li,"The value in the ""Taxable"" field is calculated by multiplying the current quantity by the rate per unit. This calculation represents the total amount that is subject to taxation for the specified quantity of items at the given unit price"
https://docs.dmexpro.com/purchaseInward.html,li,"The value in the ""Tax"" represents the amount calculated based on the applicable tax rate(CGST/SGST/IGST) ."
https://docs.dmexpro.com/purchaseInward.html,li,"The ""Amount"" field represents the total transaction or invoice amount for that lineitem, and it is calculated as the sum of the ""Taxable"" value and the ""Tax"" value."
https://docs.dmexpro.com/purchaseInward.html,li,"The ""Total Amount"" field represents the overall transaction or invoice amount and is derived from the sum of the amounts of all individual line items included in the transaction or invoice."
https://docs.dmexpro.com/purchaseInward.html,li,"We have the upload document option, where the specific document selected in the Supplier PO is uploaded here."
https://docs.dmexpro.com/purchaseInward.html,li,Note: When a file is to be uploaded please check the file size is within 1 MB.
https://docs.dmexpro.com/purchaseInward.html,li,The uploaded file can be downloaded by clicking the file name displayed
https://docs.dmexpro.com/purchaseInward.html,li,Click the âSubmitâ Button
https://docs.dmexpro.com/purchaseInward.html,p,Submission Of Purchase Inwardr
https://docs.dmexpro.com/purchaseInward.html,li,"Upon submission of a purchase inward, the entry will be added and the screen will be redirected to the search screen with the newly added purchase inward as the result."
https://docs.dmexpro.com/purchaseInward.html,li,"If you change your mind and don't want to add a purchase inward, click ""Cancel"" it takes you back to the Purchase Inward Search page."
https://docs.dmexpro.com/purchaseInward.html,h4,1.2  Search Purchase Inward
https://docs.dmexpro.com/purchaseInward.html,h3,Search a Purchase Inward - Step-by-Step
https://docs.dmexpro.com/purchaseInward.html,p,Step 1:Start Searching
https://docs.dmexpro.com/purchaseInward.html,p,"On the Search page, you can search in different ways:"
https://docs.dmexpro.com/purchaseInward.html,li,PO Number: Select the PO Number
https://docs.dmexpro.com/purchaseInward.html,li,By GRN Number: Enter the GRN number.
https://docs.dmexpro.com/purchaseInward.html,li,By Purchase Inward From Date:  Define a date range from when your search should be conducted.
https://docs.dmexpro.com/purchaseInward.html,li,By Purchase Inward To Date: Define a date range from when your search should be conducted.
https://docs.dmexpro.com/purchaseInward.html,li,"For All: If you don't have a specific name or code, just click ""Search"" to view all previously created sales orders."
https://docs.dmexpro.com/purchaseInward.html,p,Step 2:See the Results
https://docs.dmexpro.com/purchaseInward.html,p,"After clicking ""Search,"" you'll see results:"
https://docs.dmexpro.com/purchaseInward.html,li,"If you searched by PO number, Grn Number, date you'll find the matching result with PO Number, Inward Date, Invoice Number, DC Number, GRN Number and an option to View/Edit [Refer 4.1.1.3]"
https://docs.dmexpro.com/purchaseInward.html,h4,1.3 Edit a Purchase Inward:
https://docs.dmexpro.com/purchaseInward.html,h4,Edit a Purchase Inward- Step-by-Step
https://docs.dmexpro.com/purchaseInward.html,p,Step 1:Find Purchase Inward
https://docs.dmexpro.com/purchaseInward.html,p,Step 2:Start Editing
https://docs.dmexpro.com/purchaseInward.html,p,"On the Purchase Inward Search, you can edit Purchase Inward:"
https://docs.dmexpro.com/purchaseInward.html,li,"By Customer, Plant, dates, Sales Order number: Select the customer , plant name or number."
https://docs.dmexpro.com/purchaseInward.html,li,"Click Search: Press ""Search"" to find the Sales Order you want to edit."
https://docs.dmexpro.com/purchaseInward.html,p,Step 3:Edit Details
https://docs.dmexpro.com/purchaseInward.html,p,"After searching, you'll see the Purchase Inward you want to edit"
https://docs.dmexpro.com/purchaseInward.html,li,"In the Edit page, please note that the PO Number, Supplier Name, PO Date, PO Description are read only fields."
https://docs.dmexpro.com/purchaseInward.html,p,Step 4:Update Info
https://docs.dmexpro.com/purchaseInward.html,p,"On the Edit Purchase Inward page, you'll find the existing details of the Purchase Inward you're editing."
https://docs.dmexpro.com/purchaseInward.html,li,Change details that you like to update in Purchase Inward.
https://docs.dmexpro.com/purchaseInward.html,p,Note:If multiple purchase inward are raised for same PO number then the Current inward quantity added for that Purchase inward will be displayed and not the sum of all the current inward quantity added for that PO number.
https://docs.dmexpro.com/purchaseInward.html,p,"After searching, you'll see the Purchase Inward you want to edit"
https://docs.dmexpro.com/purchaseInward.html,li,Each Purchase inward is considered as an individual Purchase inward even if the purchase inwards are for same PO numbers.
https://docs.dmexpro.com/purchaseInward.html,li,Click the âSubmitâ Button
https://docs.dmexpro.com/purchaseInward.html,p,Submission Of Purchase Inward
https://docs.dmexpro.com/purchaseInward.html,li,"Upon submission of a purchase inward, the entry will be updated and the screen will be redirected to the search screen with the edited purchase inward as the result."
https://docs.dmexpro.com/purchaseInward.html,li,Note:As the Inward quantity is added the available stock of that item will be increased.
https://docs.dmexpro.com/purchaseInward.html,p,"That's it! You've learned how to ADD, SEARCH, EDIT a customer using the DMeX app. If you need help, contact the support team."
https://docs.dmexpro.com/grnInvoicePayment.html,h2,GRN Invoice Payment
https://docs.dmexpro.com/grnInvoicePayment.html,h3,Before You Begin
https://docs.dmexpro.com/grnInvoicePayment.html,li,"To get started, ensure you have your username and password ready"
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Once logged in, you will land on the welcome screen"
https://docs.dmexpro.com/grnInvoicePayment.html,h3,1.1 ADD GRN INVOICE PAYMENT:
https://docs.dmexpro.com/grnInvoicePayment.html,h3,Add a GRN Invoice Payment- Step-by-Step:
https://docs.dmexpro.com/grnInvoicePayment.html,h4,Step 1: Reach the GRN Invoice Payment Screen
https://docs.dmexpro.com/grnInvoicePayment.html,li,"From the main Side menu, click on""Accounts"", then go to""Operations"", and finally choose""GRN Invoice Payment"". This will open the GRN Invoice Payment Search page."
https://docs.dmexpro.com/grnInvoicePayment.html,h3,1.1 SEARCH GRN INVOICE PAYMENT:
https://docs.dmexpro.com/grnInvoicePayment.html,h3,Search GRN Invoice Payment- Step-by-Step:
https://docs.dmexpro.com/grnInvoicePayment.html,h4,Step 1: Start Searching:
https://docs.dmexpro.com/grnInvoicePayment.html,p,Navigate to the GRN Invoice Search page and use the following filters:
https://docs.dmexpro.com/grnInvoicePayment.html,li,Supplier:[Dropdown] (Mandatory) Select one in the drop down.
https://docs.dmexpro.com/grnInvoicePayment.html,li,From Due Date:[Date] (Mandatory) Select the starting date for the due range.
https://docs.dmexpro.com/grnInvoicePayment.html,li,To Due Date:[Date] (Mandatory) Select the ending date for the due range.
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Once the desired filters are selected, click the""Search""button to begin."
https://docs.dmexpro.com/grnInvoicePayment.html,h4,Step 2: See the Results:
https://docs.dmexpro.com/grnInvoicePayment.html,p,"After clicking Search, results matching your criteria will be displayed in a table format:"
https://docs.dmexpro.com/grnInvoicePayment.html,li,Supplier:Displays the Supplier name associated with the invoices.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Beneficiary Account Number:Displays the Beneficiary Account Number of the supplier.
https://docs.dmexpro.com/grnInvoicePayment.html,li,GRN Invoice Number:Displays the corresponding GRN invoice number.
https://docs.dmexpro.com/grnInvoicePayment.html,li,GRN Invoice Date:Displays the date of the GRN invoice.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Due Date:Displays the Due date of the GRN invoice.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Due / Overdue Days:Displays days between the due date and current date.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Due Amount:Displays the Total Due Amount
https://docs.dmexpro.com/grnInvoicePayment.html,li,Paid Advance Amount:Displays the already paid Advance for the current due amount & excludes the already paid amount.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Already Paid Amount:Displays the Already Paid Amount for the current due amount & excludes the advance amount.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Pending Due Amount:Displays the Pending Due Amount for the current due amount. & it will subtract the already paid and advance amount.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Paid Amount:Input field for the user to enter the amount to be paid.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Payment Date:Date field for selecting the payment date.
https://docs.dmexpro.com/grnInvoicePayment.html,li,Check:Checkbox to select the payment for a specific GRN invoice.
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Paid Status:Displays the status of the specified GRN Invoice payment status like Paid, Not Paid and Partially Paid."
https://docs.dmexpro.com/grnInvoicePayment.html,h3,Step 3: Payment Submission
https://docs.dmexpro.com/grnInvoicePayment.html,li,Debit Account:(dropdown)(mandatory)  Select one active debit account related to the payment.
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Payment Mode:(dropdown)(mandatory)  Select one mode of payment for the transaction and the payment mode like cash, cheques, Net Banking, NEFT and RTGS."
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Filter by Paid Status:To Filter the GRN due Amount List By selecting the payment status like Paid, Not Paid and Partially Paid."
https://docs.dmexpro.com/grnInvoicePayment.html,li,Mark as Paid:(Button) Clicking this button will verify that all necessary fields in the table and form are filled. It then processes the payment for the selected GRN and updates the GRN Invoice Payment status based on the payment made.
https://docs.dmexpro.com/grnInvoicePayment.html,li,"Export & Paid:(Button) Clicking this button will verify that all necessary fields in the table and form are filled. It then processes the payment for the selected GRN, updates the GRN Invoice Payment status based on the payment made, and exports the details to an Excel file."
https://docs.dmexpro.com/grnInvoicePayment.html,h3,Key Notes
https://docs.dmexpro.com/grnInvoicePayment.html,li,"If the due date of a particular GRN invoice is less than 3 days from the current date, the related ""Due Days"" columns will change toroyal blue."
https://docs.dmexpro.com/grnInvoicePayment.html,li,"If the due date of a particular GRN invoice is greater than the current date, the related ""Due Days"" columns will change tored."
https://docs.dmexpro.com/grnInvoicePayment.html,li,"If the due date of a particular GRN invoice is equal to the current date, the related ""Due Days"" columns will change toorange."
https://docs.dmexpro.com/grnInvoicePayment.html,p,That's It!Youâve successfully learned how to Search and Make Payments for GRN Invoice based on multiple filters using the DMeX app.
https://docs.dmexpro.com/grnInvoicePayment.html,p,THANK YOU...
https://docs.dmexpro.com/grnInvoicePayment.html,p,"For further assistance, contact the Support Team."
https://docs.dmexpro.com/jobOrder.html,h2,Job Order
https://docs.dmexpro.com/jobOrder.html,h3,Before You Begin
https://docs.dmexpro.com/jobOrder.html,li,"To get started, make sure you have your username and password ready."
https://docs.dmexpro.com/jobOrder.html,li,"Once you log in, you will land on the welcome screen."
https://docs.dmexpro.com/jobOrder.html,h4,Prerequisite
https://docs.dmexpro.com/jobOrder.html,li,"Certainly, before creating an Job Order , it's a good practice to ensure that all the relevant details have been entered or updated. These details typically include information about the supplier, part, part process group subtab of part and any other relevant data. Here's a checklist of the details you should verify before adding a sales order:"
https://docs.dmexpro.com/jobOrder.html,li,"Supplier Master:Keeping supplier information current helps in selecting the right supplier for the job order. This includes contact details, payment terms, and any other relevant information necessary for communication and coordination."
https://docs.dmexpro.com/jobOrder.html,li,"Part Master-Part process groupThe  Part process group subtab components for which the part process group is done. Ensuring that the master data for the  part  is current helps in selecting the right components for the job order , preventing delays or errors caused by outdated information."
